date,open,high,low,close,volume
2011-11-21,231,233,218.25,224.5,243042
2011-11-28,226,237,225,229.9,206808
2011-12-05,231.1,236,220,229.35,233434
2011-12-12,229,233.85,215.5,216.25,253666
2011-12-19,215,229.75,210,226.5,263356
2011-12-26,227.35,231.55,226,230.35,57775
2012-01-02,230.35,241,228.15,237.6,147513
2012-01-09,236.8,253,236.45,251.95,202531
2012-01-16,249.6,259.8,248.5,251.9,174699
2012-01-23,251.8,269,250,267.65,176585
2012-01-30,267.7,274.9,258.05,274.7,155169
2012-02-06,274.7,277.8,260,267.15,160187
2012-02-13,268.4,290.9,265.55,281.7,162645
2012-02-20,282.95,286.95,276,281,88676
2012-02-27,282,286.25,272.4,285,573636
2012-03-05,282.25,284.4,258.6,264.6,252838
2012-03-12,263.95,271.6,247.2,250,742367
2012-03-19,250.9,254.2,243.5,247.6,382648
2012-03-26,247.1,256.5,247,252.65,257602
2012-04-02,254,256.75,247.8,251.75,200077
2012-04-09,251.65,253,243.85,247.7,206341
2012-04-16,247.7,260,247.7,252.65,256198
2012-04-23,251.85,270,248.5,266.55,212368
2012-04-30,266.75,279.85,265.6,267.9,224718
2012-05-07,265.7,270.75,265.1,269.55,119121
2012-05-14,266.6,268.7,257.65,260,158850
2012-05-21,261.2,264.85,255,260,210287
2012-05-28,259,274.55,255,259.1,345841
2012-06-04,256.6,266.3,251,258.65,292544
2012-06-11,264.7,267.55,251.4,251.4,183966
2012-06-18,253.7,258.25,245.2,245.7,151870
2012-06-25,245.4,252,241.4,242.25,155246
2012-07-02,243.55,244.25,233.2,236.35,233644
2012-07-09,237.25,239.9,225.75,230.4,181138
2012-07-16,229.8,238.05,223,229.25,269752
2012-07-23,228,228,219,224.05,171472
2012-07-30,224.3,224.85,212.5,223.95,155577
2012-08-06,223.6,235.1,216.75,222.4,232339
2012-08-13,223.2,228,221.2,224.55,119161
2012-08-20,225,226.7,218.5,221.3,137164
2012-08-27,221.25,232.9,219.5,228.95,175253
2012-09-03,230.85,232.85,224.75,226.7,122525
2012-09-10,227.2,227.55,212.5,219.4,199788
2012-09-17,220,220,214,214.95,188566
2012-09-24,214.9,216.6,209,209,215507
2012-10-01,209.6,218.8,208.5,218.6,189188
2012-10-08,218.5,219.6,212,217,157566
2012-10-15,217.85,220.9,213.65,214.85,150458
2012-10-22,214.45,214.5,207.7,211.65,151099
2012-10-29,212,219.5,210.1,219,90731
2012-11-05,219,229.15,217.8,228.3,207588
2012-11-12,229.75,229.75,222,222.45,143579
2012-11-19,223.95,236.45,222.4,236.45,136521
2012-11-26,236.75,238.5,232,237.6,137101
2012-12-03,236.5,238.5,234.45,236,116761
2012-12-10,235.05,237.3,226.15,230.1,120507
2012-12-17,230.5,232,224.5,230.8,118391
2012-12-24,226.7,230,222.9,223.8,58651
2012-12-31,228,231.05,224.15,230.95,84160
2013-01-07,232.5,233.05,226.2,229,185315
2013-01-14,229.9,244.6,227,242.65,179113
2013-01-21,243,245.15,236.6,243.8,176685
2013-01-28,244,245.6,237.5,245.6,118207
2013-02-04,245.75,246.35,242.3,246.35,155718
2013-02-11,246,253.8,243.35,252.35,216094
2013-02-18,252.25,256.95,251.3,256.25,114216
2013-02-25,256,259.05,251.95,257.85,98740
2013-03-04,257.9,260.7,255.1,259.95,87336
2013-03-11,260.1,261.9,255.1,256.3,133983
2013-03-18,255.2,264.25,255.2,262.55,157953
2013-03-25,265,271.9,263.2,270.85,93160
2013-04-01,270.1,278.45,258.85,260.6,130968
2013-04-08,260.1,266.75,257.4,264.5,100582
2013-04-15,262.8,264.45,247.8,248.85,112263
2013-04-22,249.8,259.3,248.5,253.85,121220
2013-04-29,254.5,264.3,253.25,264.05,69452
2013-05-06,264.05,267.7,259,266.85,60966
2013-05-13,266.5,277,264,276.6,109666
2013-05-20,276.1,282.3,271.5,275,102697
2013-05-27,278.85,283.2,271.75,275.2,84202
2013-06-03,273.9,273.9,259,261.75,83389
2013-06-10,263.8,264,255,256.85,74271
2013-06-17,256.1,258.75,240.1,240.1,144209
2013-06-24,238.9,253.2,235.5,248,108462
2013-07-01,248.75,253.45,245.2,248.8,82689
2013-07-08,250.75,257.5,250.75,253.5,75613
2013-07-15,253.85,264.85,249.2,260.05,90270
2013-07-22,258,265,253.25,254.25,80102
2013-07-29,254.6,262.8,253.5,261.95,59011
2013-08-05,262.5,264.8,257.85,261.65,56327
2013-08-12,261.25,263.2,255.95,255.95,63659
2013-08-19,256.15,260.05,254.3,257.85,46972
2013-08-26,257.3,257.35,243,253.7,94889
2013-09-02,255,259.55,253.15,257.8,111880
2013-09-09,257.15,264.1,256,259,115651
