date,open,high,low,close,volume
2015-03-30,150.08,153.17,146.82,149.28,13816100
2015-04-06,148.15,154.96,148,154.38,17584200
2015-04-13,153.79,155.5,149.44,149.6,16798700
2015-04-20,151.06,154.09,148.02,148.4,24380900
2015-04-27,148.59,149,142.75,144.67,22200200
2015-05-04,143.85,145.94,140.43,145.46,29898100
2015-05-11,145.55,148.3,144.01,146.88,17057000
2015-05-18,146.88,147.77,144.8,144.81,13178000
2015-05-25,144.34,145.29,140.32,140.52,15616300
2015-06-01,141.45,145.06,140.05,140.73,19094400
2015-06-08,140.24,143.98,139.9,142.8,13508300
2015-06-15,142.04,146.53,141.28,145.13,16423600
2015-06-22,146.07,146.45,141.89,142.48,14246700
2015-06-29,140.96,141.52,138.44,140.21,12567700
2015-07-06,139.02,145.19,139,144.48,13870800
2015-07-13,145.96,148.8,145.6,146.84,13873600
2015-07-20,147.11,149.18,143.98,144.06,20278100
2015-07-27,143.22,144.92,139.51,144.17,16738200
2015-08-03,144.44,145.6,141.7,142.42,13397300
2015-08-10,143.79,146.77,139.86,145.09,18661700
2015-08-17,144.6,145.21,131.46,131.71,23228200
2015-08-24,123.64,135.5,115.14,133.24,33276700
2015-08-31,132.37,132.7,126.94,129.76,21939900
2015-09-07,132.27,136.25,132,134.67,13780100
2015-09-14,134.72,139.91,133.73,136.09,19364700
2015-09-21,136.42,137.45,127.18,131.01,20281100
2015-09-28,130.44,132.59,127.47,132.56,16056500
2015-10-05,132.28,140.24,131.35,139.7,16812300
2015-10-12,139.93,141.07,133.58,137.6,22576200
2015-10-19,137.6,147.75,136.39,146.7,28819300
2015-10-26,146.21,149.6,145.14,148.07,17973100
2015-11-02,148.38,149.47,146.01,147.94,12597700
2015-11-09,146.9,147.48,141.59,142.59,13945100
2015-11-16,142.58,150.59,142.33,149.4,14220500
2015-11-23,149.39,149.7,146.68,146.95,8944600
2015-11-30,146.97,149.4,144.28,148.5,16171400
2015-12-07,148.3,149.5,142.27,144.62,20526600
2015-12-14,144.5,149.8,138.89,139.58,26267100
2015-12-21,140.21,144.07,139.7,143.53,11077000
2015-12-28,143.26,148,142.85,144.59,8837800
2016-01-04,141.38,141.7,129.8,129.99,26121200
2016-01-11,130.85,132.88,124.51,125.63,27992300
2016-01-18,127.06,127.22,119.82,124.61,23921600
2016-01-25,124.6,128.15,115.02,120.13,57834200
2016-02-01,119.64,124.91,117.15,122.56,34845100
2016-02-08,120.67,121.33,102.1,108.63,62188800
2016-02-15,109.73,118.23,109,115.16,27616900
2016-02-22,115.16,119.45,112.51,118.16,23976800
2016-02-29,118.12,122.23,117.5,121.07,21283700
2016-03-07,120.8,125.5,120.57,124.63,20513700
